Filename,Title,Authors,Application,Definition_of_Deepfake,Identity_Source,Identity_Source_Reasoning,Intent,Intent_Reasoning,Modality,Modality_Reasoning,Manipulation_Granularity,Manipulation_Granularity_Reasoning,Cites,Year,Source,Publisher,RelatedURL
CU397QML_Aggarwal et al. - 2023 - Detection of Deep Fake Images Using Convolutional .pdf,Detection of Deep Fake Images Using Convolutional Neural Networks,"G Aggarwal, AK Srivastava, K Jhajharia…",Primarily Detection,"Deepfakes are images where identities or parts of individuals have been altered or replaced, often for deceptive purposes.",Original-to-Target Transfer,"The paper discusses deepfakes involving face swapping and identity replacement (Aï¿½ï¿½ï¿½B), which is a form of original-to-target tra",Non-deceptive,"The intent focuses on detecting these images rather than using them for malicious purposes, hence non-deceptive.",Visual,"The paper deals with visual media, specifically images used to create deepfakes.",Holistic,The detection involves holistic changes as it replaces entire identities or faces.,31,2023,2023 3rd …,ieeexplore.ieee.org,"https://scholar.google.com/scholar?q=related:OaTqf6f0YEsJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
T3VTGYKF_Patel et al. - 2023 - An improved dense CNN architecture for deepfake image detection.pdf,An improved dense CNN architecture for deepfake image detection,"Y Patel, S Tanwar, P Bhattacharya, R Gupta…",Media dissemination and identity manipulation,"Deepfakes are artificial images or videos where identities have been manipulated, often through face swapping or attribute changes.",Original-to-Target Transfer,"The paper discusses deepfakes involving inter-frame dissimilarities, likely face swapping or identity replacement.",Deceptive,The focus is on detecting deepfakes used for deceptive purposes like fraud and identity theft.,Visual,The paper deals with visual media (images) where deepfakes are created.,Holistic,"The detection involves holistic changes across frames, indicating complete identity transformation.",85,2023,IEEE …,ieeexplore.ieee.org,"https://scholar.google.com/scholar?q=related:olVUnt1APRIJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
P2UFSEKV_Khder et al. - 2023 - Artificial intelligence into multimedia deepfakes creation and detection.pdf,Artificial intelligence into multimedia deepfakes creation and detection,"MA Khder, S Shorman, DT Aldoseri…","Entertainment, social media, fraud, identity theft, historical figure recreation, education",Artificially generated fake videos that closely resemble real ones.,Original-to-Target Transfer,"The paper discusses various types of deepfakes involving identity manipulation across different media, including face swapping (original-to-target transfer).",Both Deceptive and Non-deceptive,The paper mentions both the detection of deepfakes (non-deceptive) and their creation for deceptive purposes.,Multimodal,"The paper covers visual, audio, and multimodal aspects of deepfakes.",Both Targeted and Holistic,The paper does not specify whether it focuses on targeted or holistic manipulation but implies a mix.,11,2023,… conference on IT …,ieeexplore.ieee.org,"https://scholar.google.com/scholar?q=related:C9UCVRD0F4EJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
KIPUEURN_Roy and Raval - 2023 - Unmasking deepfake visual content with generative AI.pdf,Unmasking deepfake visual content with generative AI,"M Roy, MS Raval","Fake news detection, identity theft, political manipulation, etc.",AI-generated fake visual content that mimics real data to deceive or mislead users.,Original-to-Target Transfer,"The paper discusses deepfakes involving face swapping, which is an example of original-to-target transfer.",Deceptive,"The intent revolves around detecting these deepfakes, which can be used for deceptive purposes like identity theft and fake news.",Visual,The focus is on visual content such as images and videos.,Holistic,The examples include holistic transformations of entire identities.,4,2023,2023 IEEE 11th Region 10 Humanitarian …,ieeexplore.ieee.org,"https://scholar.google.com/scholar?q=related:f83X52XQekgJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
marissa2IMVIP2018Book.pdf,Detection of deepfake video manipulation,"M Koopman, AM Rodriguez…",Legal purposes (courtroom evidence manipulation),Deepfakes are used to manipulate video evidence in legal contexts by altering faces to impersonate individuals.,Original-to-Target Transfer,The paper discusses deepfakes focused on face swapping to impersonate individuals.,Deceptive,The intent is to manipulate video evidence for deceptive purposes in legal settings.,Visual,The focus is on visual media (videos) used in legal contexts.,Targeted Attribute,The deepfakes involve specific identity alterations rather than complete face replacement.,214,2018,The 20th Irish machine …,researchgate.net,"https://scholar.google.com/scholar?q=related:tEpD1nSlG_oJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
ICIAP2023deepfakegeneraliz+(1).pdf,Generalized deepfake detection algorithm based on inconsistency between inner and outer faces,"J Gao, S Concas, G Orrù, X Feng, GL Marcialis…","Entertainment (filmmaking), Education, Misinformation spreading",Deepfakes are artificial media content created using AI and machine learning techniques to replace or superimpose faces in existing images or videos with other people's faces.,Original-to-Target Transfer,"The paper discusses deepfakes involving face swapping, where identities are transferred from one person to another.",Deceptive,"The paper mentions the use of deepfakes for spreading misinformation and fake content, indicating deceptive intent.",Visual,The paper focuses on visual media types such as images and videos.,Holistic,The deepfakes involve complete identity replacement rather than targeted attribute changes.,6,2023,… conference on image …,Springer,"https://scholar.google.com/scholar?q=related:qxEYoicbwuwJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
7GWNWF9T_Khichi and Yadav - 2021 - A threat of deepfakes as a weapon on digital platform and their detection methods.pdf,A threat of deepfakes as a weapon on digital platform and their detection methods,"M Khichi, RK Yadav","Deception in digital content, including fraud, identity theft, political manipulation",AI-generated forgeries used to deceive by mimicking real identities or voices,Original-to-Target Transfer,No reasoning provided,Deceptive,No reasoning provided,Visual,No reasoning provided,Holistic,No reasoning provided,17,2021,2021 12th International Conference on …,ieeexplore.ieee.org,"https://scholar.google.com/scholar?q=related:S3t1AM9MW9AJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
YXTNXN4A_Lim et al. - 2022 - Metamorphic testing-based adversarial attack to fool deepfake detectors.pdf,Metamorphic testing-based adversarial attack to fool deepfake detectors,"NT Lim, MY Kuan, M Pu, MK Lim…",Fooling deepfake detectors; malicious purposes like identity theft and fraud,"Deepfakes used in adversarial attacks to deceive detection models, often involving face swapping or similar manipulations to mimic another person's identity.",Original-to-Target Transfer,"The paper discusses deepfakes involving face swapping, which is a form of identity transfer from one person to another.",Deceptive,"The intent is to deceive detection systems, often for malicious purposes like identity theft or fraud.",Visual,The focus is on visual media such as images and videos where deepfakes are created.,Holistic,The deepfakes involve complete replacement of entire identities rather than partial attribute changes.,12,2022,2022 26th international …,ieeexplore.ieee.org,"https://scholar.google.com/scholar?q=related:VWRLHDIWP7MJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
M6GAA6NI_Kirn et al. - 2022 - Deepfake tweets detection using deep learning algorithms.pdf,Deepfake tweets detection using deep learning algorithms,"H Kirn, M Anwar, A Sadiq, HM Zeeshan…",Social media (tweets),Artificially generated fake tweets that involve altering user identities or content to deceive,Original-to-Target Transfer,"The paper discusses deepfakes in the context of altering user identities within tweets, fitting the original-to-target transfer model.",Deceptive,"The intent is to detect and prevent fraud, making it non-deceptive as it aims for legitimate purposes.",Visual,"Deepfake tweets often involve visual elements like images or videos alongside text, classified under visual modality.",Targeted Attribute,The deepfakes focus on modifying specific attributes such as user identities and content.,10,2022,Engineering …,mdpi.com,"https://scholar.google.com/scholar?q=related:q1kPmPf0XlcJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
85EBBV6W_Xu et al. - 2023 - Learning pairwise interaction for generalizable deepfake detection.pdf,Learning pairwise interaction for generalizable deepfake detection,"Y Xu, K Raja, L Verdoliva…",Security-related applications such as preventing identity theft and fraud,AI-generated media aiming to deceive by altering identities or attributes,Original-to-Target Transfer,No reasoning provided,Deceptive,No reasoning provided,Visual,No reasoning provided,Holistic,No reasoning provided,31,2023,Proceedings of the IEEE …,openaccess.thecvf.com,"https://scholar.google.com/scholar?q=related:BvysnwpJNdMJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
32ETZVLW_Chakravarty and Dua - 2024 - A lightweight feature extraction technique for deepfake audio detection.pdf,A lightweight feature extraction technique for deepfake audio detection,"N Chakravarty, M Dua","Audio, possibly in entertainment or fraud detection contexts.",Not explicitly defined but likely involves audio manipulation for detection purposes.,Mixed Types,"The paper uses Mel spectrograms and ResNet50, which are typically used in face recognition (Original-to-Target Transfer), but applied to audio data for detection.",Deceptive,"The focus is on detecting malicious audio deepfakes, which falls under deceptive intent.",Audio,"The paper deals with audio data processed into spectrograms, which are visual representations of sound.",Holistic,ResNet50 handles holistic identity replacement in the context of audio manipulation.,22,2024,Multimedia Tools and Applications,Springer,"https://scholar.google.com/scholar?q=related:2kIe8vLK5ekJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
WYE6UFDX_Kaliyar et al. - 2021 - DeepFakE improving fake news detection using tensor decomposition-based deep neural network.pdf,DeepFakE: improving fake news detection using tensor decomposition-based deep neural network,"RK Kaliyar, A Goswami, P Narang",Social media and misinformation control,Deepfakes used in this paper are tools or methods employed to detect fake news on social platforms.,Original-to-Target Transfer,"The paper discusses deepfakes used for detecting fake news, which may involve transferring identities between users.",Non-deceptive,The focus is on legitimate applications like ensuring information accuracy.,Visual,The context involves visual content such as social media posts.,Holistic,The deepfakes discussed may involve holistic changes to identify fake news.,189,2021,The Journal of Supercomputing,Springer,"https://scholar.google.com/scholar?q=related:GsGZDXX-15oJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
